flow duration,total fwd packets,total backward packets,total length of fwd packets,total length of bwd packets,fwd packet length max,fwd packet length min,fwd packet length mean,fwd packet length std,bwd packet length max,bwd packet length min,bwd packet length mean,bwd packet length std,flow bytes/s,flow packets/s,flow iat mean,flow iat std,flow iat max,flow iat min,fwd iat total,fwd iat mean,fwd iat std,fwd iat max,fwd iat min,bwd iat total,bwd iat mean,bwd iat std,bwd iat max,bwd iat min,fwd psh flags,bwd psh flags,fwd urg flags,bwd urg flags,fwd header length,bwd header length,fwd packets/s,bwd packets/s,min packet length,max packet length,packet length mean,packet length std,packet length variance,fin flag count,syn flag count,rst flag count,psh flag count,ack flag count,urg flag count,cwe flag count,ece flag count,down/up ratio,average packet size,avg fwd segment size,avg bwd segment size,fwd avg bytes/bulk,fwd avg packets/bulk,fwd avg bulk rate,bwd avg bytes/bulk,bwd avg packets/bulk,bwd avg bulk rate,subflow fwd packets,subflow fwd bytes,subflow bwd packets,subflow bwd bytes,init win bytes forward,init win bytes backward,act data pkt fwd,min seg size forward,active mean,active std,active max,active min,idle mean,idle std,idle max,idle min,label
210.0,2.0,2.0,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,761904.7619,19047.61905,70.0,36.37306696,112.0,49.0,49.0,49.0,0.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,64.0,64.0,9523.809524,9523.809524,32.0,48.0,38.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,32.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,96.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
68016619.0,8.0,8.0,384.0,384.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,11.29135807,0.235236627,4534441.267,14500000.0,57000000.0,16311.0,68000000.0,9714286.429,20900000.0,57000000.0,999985.0,68000000.0,9714302.714,20900000.0,57000000.0,999796.0,0.0,0.0,0.0,0.0,156.0,156.0,0.117618313,0.117618313,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,384.0,8.0,384.0,-1.0,-1.0,7.0,0.0,11000000.0,0.0,11000000.0,11000000.0,57000000.0,0.0,57000000.0,57000000.0,BENIGN
106.0,1.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,3.464101615,113207.5472,47169.81132,26.5,33.98529094,72.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,24.33333333,41.2835722,72.0,0.0,0.0,0.0,0.0,0.0,32.0,104.0,9433.962264,37735.84906,0.0,6.0,2.0,3.098386677,9.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,253.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
165.0,2.0,2.0,102.0,224.0,51.0,51.0,51.0,0.0,112.0,112.0,112.0,0.0,1975757.576,24242.42424,55.0,55.83009941,114.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,12121.21212,12121.21212,51.0,112.0,75.4,33.41107601,1116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94.25,51.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,2.0,224.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
492.0,2.0,2.0,364.0,358.0,182.0,182.0,182.0,0.0,179.0,179.0,179.0,0.0,1467479.675,8130.081301,164.0,277.9946043,485.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,4065.04065,4065.04065,179.0,182.0,180.8,1.643167673,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,226.0,182.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,364.0,2.0,358.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
66081538.0,6.0,6.0,288.0,288.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,8.716504147,0.181593836,6007412.545,19400000.0,64600000.0,1.0,66100000.0,13200000.0,28700000.0,64600000.0,3.0,66100000.0,13200000.0,28700000.0,64600000.0,1.0,0.0,0.0,0.0,0.0,144.0,144.0,0.090796918,0.090796918,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,288.0,6.0,288.0,-1.0,-1.0,5.0,20.0,1503140.0,0.0,1503140.0,1503140.0,64600000.0,0.0,64600000.0,64600000.0,BENIGN
15.0,10.0,0.0,180.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,12000000.0,666666.6667,1.666666667,1.658312395,6.0,1.0,15.0,1.666666667,1.658312395,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,666666.6667,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,180.0,0.0,0.0,-1.0,-1.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
158.0,4.0,1.0,24.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,189873.4177,31645.56962,39.5,50.36864104,107.0,1.0,51.0,17.0,27.71281292,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,25316.4557,6329.113924,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.2,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,1.0,6.0,2053.0,256.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
3917408.0,6.0,6.0,216.0,582.0,36.0,36.0,36.0,0.0,97.0,97.0,97.0,0.0,203.706124,3.063249986,356128.0,494875.2811,1013989.0,1.0,2027858.0,405571.6,555347.2226,1013989.0,3.0,906355.0,181271.0,405296.825,906288.0,1.0,0.0,0.0,0.0,0.0,120.0,120.0,1.531624993,1.531624993,36.0,97.0,64.15384615,31.65134582,1001.807692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.5,36.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,216.0,6.0,582.0,-1.0,-1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
28.0,1.0,4.0,6.0,24.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,1071428.571,178571.4286,7.0,10.70825227,23.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.666666667,1.154700538,3.0,1.0,0.0,0.0,0.0,0.0,20.0,80.0,35714.28571,142857.1429,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.2,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,24.0,255.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
